Type	Min	Max	Median	Mean
Nodes	11	425	80	83.71
Edges	29	2867	268	307.37
CpGs	1	120	9	12.54
SNPs	1	1	1	1
CpG genes	0	37	7	7.68
SNP genes	0	40	8	7.83
TFs	0	106	35	35.24
Path genes	0	7	1	1.56
