Set	S1	S1.1kb	S1.2kb	S2	S2.1kb	S2.2kb	S3	S3.1kb	S3.2kb
Pairs	124605	384092	636731	890780	5146579	9352893	89066	208049	321334
HERVs	21805	31412	31601	330744	555138	559179	10139	13125	13189
SNPs	124605	263591	371877	890780	3310775	4790505	89066	153674	204620
