Term ID	Term	p	fdr
GO:0007399	nervous system development	3.18041512547438e-08	0.000400605089204753
GO:0048699	generation of neurons	2.94194451430626e-07	0.00370537911576874
GO:0022008	neurogenesis	5.94792057789912e-07	0.00749081117580616
GO:0030182	neuron differentiation	7.20924913095548e-07	0.00907860743061223
GO:0023051	regulation of signaling	1.12792665961584e-06	0.0142028524978827
GO:0023052	signaling	2.08170901838752e-06	0.0262107982505172
GO:0048585	negative regulation of response to stimulus	2.18382807676462e-06	0.0274943954864666
GO:0044700	single organism signaling	2.42662273069868e-06	0.0305487535567657
GO:0010646	regulation of cell communication	2.65294340223219e-06	0.0333952515472988
GO:0040011	locomotion	3.5686890428737e-06	0.0449190889826512
