Set	S1	S1.1kb	S1.2kb	S2	S2.1kb	S2.2kb	S3	S3.1kb	S3.2kb
Pairs	1587	6105	12005	17077	110868	238774	1152	3465	6408
HERVs	973	3091	4885	12871	60727	100593	614	1561	2425
CpGs	1587	4497	7790	17077	78466	139009	1152	2671	4404
